time,close,LWBC
1312156800,8,
1314835200,4.82,
1317427200,3.3,
1320105600,3.19,
1322697600,4.58,
1325376000,5.3,
1328054400,4.99,
1330560000,4.9,
1333238400,5,
1335830400,5.17,
1338508800,6.61,
1341100800,9.28,
1343779200,10.16,
1346457600,12.22,
1349049600,11,2041.2108608219885
1351728000,12.43,2233.5895666185493
1354320000,13.24,2363.517307441037
1356998400,20.46,2515.595328908801
1359676800,33.53,2495.6960518638143
1362096000,96.15,2269.835392942814
1364774400,139.88,2368.1472904672405
1367366400,127.91,2793.583411199219
1370044800,89.53,3059.829462659745
1372636800,98.28,2801.553683838367
1375315200,128,2684.987264957801
1377993600,126.25,3070.9438022947706
1380585600,203.54,3055.6607787612784
1383264000,1119.8,3174.3875222359356
1385856000,732,3601.0144700925825
1388534400,803,3066.1228717149543
1391212800,550.1,2772.0214232664575
1393632000,454.83,2682.0081730645447
1396310400,448.85,2661.8137737068973
1398902400,627.8,2979.1786519606503
1401580800,641.11,2859.8189628721902
1404172800,582.04,3005.2088681779587
1406851200,479.04,2863.9951710084115
1409529600,391.09,2877.3558110589993
1412121600,337.99,3079.1635745457197
1414800000,377.01,2693.190566231265
1417392000,321,2627.8552307850623
1420070400,216.9,1954.205984951154
1422748800,253.47,2440.236299973315
1425168000,244.24,2593.2734366246973
1427846400,236.2,2826.874696203134
1430438400,228.91,2602.5955782915366
1433116800,262.5,2552.9757396643536
1435708800,284.33,2452.9919877751395
1438387200,229.86,2313.903407273989
1441065600,236.2,2392.8061505547457
1443657600,310.18,2293.3570783600967
1446336000,376.71,2114.653838301443
1448928000,430.89,2337.0438800104093
1451606400,368.49,2105.4150292592485
1454284800,435.23,1973.7519531025787
1456790400,414.66,2119.3620273906204
1459468800,448.37,2154.0331273061997
1462060800,531.84,2055.1426972896247
1464739200,667.95,1989.7359750917528
1467331200,623.83,1960.077053677737
1470009600,570.75,1880.9422192885781
1472688000,608.23,2207.668592809722
1475280000,697.01,2341.0586177494324
1477958400,742.06,3392.651178081827
1480550400,966.3,3244.2893478487213
1483228800,963.99,3451.6448474292483
1485907200,1191.21,3251.165911691212
1488326400,1070.31,3182.95239478959
1491004800,1350.21,3063.1743289051133
1493596800,2298.01,3029.273168325434
1496275200,2465.49,3422.4891659860587
1498867200,2855.81,3652.4295287335044
1501545600,4734.26,3847.5160597805325
1504224000,4326.09,3709.1925068435417
1506816000,6434.21,3975.1226537925427
1509494400,9947.67,3906.0164348558146
1512086400,13880,4179.892403283714
1514764800,10149,3902.116596363769
1517443200,10314.9,3884.4556704665406
1519862400,6928.62,3630.125278991311
1522540800,9242.17,3721.6772642610795
1525132800,7492.28,3740.0177462701786
1527811200,6385.71,3754.731017529921
1530403200,7725.43,3481.0425146510174
1533081600,7017.35,3225.6458952172998
1535760000,6597.81,3606.5204564658934
1538352000,6303.27,3112.9177918999058
1541030400,3971.06,3368.6297439292302
1543622400,3693.3,2872.2498200992723
1546300800,3413.11,3080.8760603722912
1548979200,3791.36,3455.600090093282
1551398400,4096.08,3523.2730402645298
1554076800,5269,3515.785556994377
1556668800,8547.2,2866.2754414572223
1559347200,10760.1,2708.2824519617307
1561939200,10085.34,2554.603008682909
1564617600,9594.15,2200.753195892903
1567296000,8298.45,2479.792428769143
1569888000,9150.07,2498.212217008689
1572566400,7550.67,2733.9292682042164
1575158400,7168.36,2882.1281210139095
1577836800,9327.85,2376.536070917846
1580515200,8527.74,2501.875229784973
1583020800,6421.14,2151.606476239898
1585699200,8627.32,2182.4399559399853
1588291200,9446.19,2220.6309644305707
1590969600,9132.96,2811.2855990702274
1593561600,11356.74,2711.9698426201708
1596240000,11655,3170.6545047533505
1598918400,10778.22,3402.635250293696
1601510400,13816.08,3509.7455861685494
1604188800,19700.19,4619.502877090354
1606780800,28992.79,4450.496304717006
1609459200,33141.38,4701.265667091942
1612137600,45240.96,5723.418028433454
1614556800,58782.58,5567.550703046804
1617235200,57775.27,6005.047152899373
1619827200,37341.41,5848.276895203864
1622505600,35037.23,5693.625686539174
1625097600,41490.13,5799.220749889615
1627776000,47156.09,5577.189113880996
1630454400,43834.43,5286.413268409874
1633046400,61359.44,5602.098353751288
1635724800,56974.12,5469.445745045204
1638316800,46214.37,5600.905859097565
1640995200,38491.92,5490.253254786554
1643673600,43178.98,5241.1701491411095
1646092800,45517.27,5524.28082618489
1648771200,37639.8,4818.85276525163
1651363200,31762.76,4905.775215563717
1654041600,19924.89,3930.6484183222924
1656633600,23322.53,3772.824986134807
1659312000,20059,3848.1212968666937
1661990400,19425,3792.446539224353
1664582400,20498,3796.764482361441
1667260800,17170,4227.632755358204
1669852800,16528,4172.048424284305
1672531200,23127,4669.731361631282
1675209600,23136,4800.140905228623
1677628800,28476,4179.820103300776
1680307200,29235,3754.580519148644
1682899200,27219,3345.4458512802066
1685577600,30469,3864.5960957635325
1688169600,29231,4087.5996620485835
1690848000,25932,3865.741888692185
1693526400,26966,4098.044337712428
1696118400,34661,3494.2936633634763
1698796800,37719,3778.8431620597107
1701388800,42258,3860.3299631451573
1704067200,42558,3901.0762959357257
1706745600,61161,3830.7215419191934
1709251200,71285,3536.131859028044
1711929600,60632,4456.2845808277825
1714521600,67477,4398.752848922006
1717200000,62676,4047.7700876858985
1719792000,64612,3428.690900492183
1722470400,58967,3423.192942330996
1725148800,63302,3740.0026165193112
1727740800,70231,3248.592432498023
1730419200,96441,3127.823064241791
1733011200,93381,3044.1300761550456
1735689600,102412,3031.5410209792844
1738368000,84321,3610.5495830804907
1740787200,82538,3689.25797806883
1743465600,94181,3006.3640570650427
1746057600,104646,3173.815465067794
1748736000,107179,4031.2714288389366
1751328000,115750,3209.042968648556
1754006400,108269,3288.0172734031376
1756684800,114065,3158.5202081995435
1759276800,109554,3268.775799678047
1761955200,90382,3182.6585726689436
1764547200,87496,3714.4214497491184
1767225600,78635,3511.076042609406
1769904000,69131,3235.6923028119218